"","ISO2","ISO3","Country","FREQ","INDICATOR","SEX","AGE","UNIT_MEASURE","obsTime","obsValue","OBS_STATUS","OBS_COMMENT"
"1","AS","ASM","American Samoa","A","MIDYEARPOPEST","_T","_T","N","2025",46389,"E","Estimated mid-year population for year 2025."
"2","CK","COK","Cook Islands","A","MIDYEARPOPEST","_T","_T","N","2025",13491,"E","Estimated mid-year population for year 2025."
"3","FJ","FJI","Fiji","A","MIDYEARPOPEST","_T","_T","N","2025",931024,"E","Estimated mid-year population for year 2025."
"4","FM","FSM","Micronesia (Federated States of)","A","MIDYEARPOPEST","_T","_T","N","2025",113428,"E","Estimated mid-year population for year 2025."
"5","GU","GUM","Guam","A","MIDYEARPOPEST","_T","_T","N","2025",168399,"E","Estimated mid-year population for year 2025."
"6","KI","KIR","Kiribati","A","MIDYEARPOPEST","_T","_T","N","2025",135509,"E","Estimated mid-year population for year 2025."
"7","MH","MHL","Marshall Islands","A","MIDYEARPOPEST","_T","_T","N","2025",36914,"E","Estimated mid-year population for year 2025."
"8","MP","MNP","Northern Mariana Islands","A","MIDYEARPOPEST","_T","_T","N","2025",43887,"E","Estimated mid-year population for year 2025."
"9","NC","NCL","New Caledonia","A","MIDYEARPOPEST","_T","_T","N","2025",294010,"E","Estimated mid-year population for year 2025."
"10","NR","NRU","Nauru","A","MIDYEARPOPEST","_T","_T","N","2025",11988,"E","Estimated mid-year population for year 2025."
"11","NU","NIU","Niue","A","MIDYEARPOPEST","_T","_T","N","2025",1822,"E","Estimated mid-year population for year 2025."
"12","PF","PYF","French Polynesia","A","MIDYEARPOPEST","_T","_T","N","2025",282147,"E","Estimated mid-year population for year 2025."
"13","PG","PNG","Papua New Guinea","A","MIDYEARPOPEST","_T","_T","N","2025",10669942,"E","Estimated mid-year population for year 2025."
"14","PN","PCN","Pitcairn Islands","A","MIDYEARPOPEST","_T","_T","N","2025",50,"E","Value for year 2021."
"15","PW","PLW","Palau","A","MIDYEARPOPEST","_T","_T","N","2025",17684,"E","Estimated mid-year population for year 2025."
"16","SB","SLB","Solomon Islands","A","MIDYEARPOPEST","_T","_T","N","2025",828857,"E","Estimated mid-year population for year 2025."
"17","TK","TKL","Tokelau","A","MIDYEARPOPEST","_T","_T","N","2025",2560,"E","Estimated mid-year population for year 2025."
"18","TO","TON","Tonga","A","MIDYEARPOPEST","_T","_T","N","2025",103972,"E","Estimated mid-year population for year 2025."
"19","TV","TUV","Tuvalu","A","MIDYEARPOPEST","_T","_T","N","2025",9564,"E","Estimated mid-year population for year 2025."
"20","VU","VUT","Vanuatu","A","MIDYEARPOPEST","_T","_T","N","2025",331470,"E","Estimated mid-year population for year 2025."
"21","WF","WLF","Wallis and Futuna","A","MIDYEARPOPEST","_T","_T","N","2025",11235,"E","Estimated mid-year population for year 2025."
"22","WS","WSM","Samoa","A","MIDYEARPOPEST","_T","_T","N","2025",218697,"E","Estimated mid-year population for year 2025."
